seq_no,qid,relation,subject type,subject,object type,paragraph,object,correct,comments
Q3-1,seedev_train_82,Regulates_Expression,Development_Phase,reproductive phase,Promoter,"Plants progress from a juvenile vegetative phase of development to an adult vegetative phase of development before they enter the reproductive phase. miR156 has been shown to be the master regulator of the juvenile-to-adult transition in plants. However, the mechanism of how miR156 is transcriptionally regulated still remains elusive. In a forward genetic screen, we identified that a mutation in the SWI2/SNF2 chromatin remodeling ATPase BRAHMA (BRM) exhibited an accelerated vegetative phase change phenotype by reducing the expression of miR156, which in turn caused a corresponding increase in the levels of SQUAMOSA PROMOTER BINDING PROTEIN LIKE genes. BRM regulates miR156 expression by directly binding to the MIR156A promoter. Mutations in BRM not only increased occupancy of the -2 and +1 nucleosomes proximal to the transcription start site at the MIR156A locus but also the levels of trimethylated histone H3 at Lys 27. The precocious phenotype of brm mutant was partially suppressed by a second mutation in SWINGER (SWN), but not by a mutation in CURLEY LEAF, both of which are key components of the Polycomb Group Repressive Complex 2 in plants.",miR156,No,"The object is correct but the subject is not. BRM (a protein) is what actually regulates miR156. Also, a development phase does not regulate expression, although expression can be restricted to a development phase. "
Q3-2,seedev_train_82,Regulates_Expression,Development_Phase,reproductive phase,Promoter,"Plants undergo a series of developmental transitions during their life cycle. After seed germination, plants pass through two distinct phases: the vegetative phase in which leaves are produced and the reproductive phase in which flowering occurs. Based on the reproductive competence and morphological changes, the vegetative phase can be further divided into juvenile and adult phases. Here, we demonstrate that the difference between juvenile and adult phase of Nicotiana tabacum is characterized by the changes in leaf size, leaf shape as well as the number of leaf epidermal hairs (trichomes). We further show that miR156, an age-regulated microRNA, regulates juvenile-to-adult phase transition in N. tabacum. Overexpression of miR156 results in delayed juvenile-to-adult transition and flowering. Together, our results support an evolutionarily conserved role of miR156 in plant developmental transitions.",flowering,No,"Flowering is a phase, not a promoter. "
Q3-3,seedev_train_82,Regulates_Expression,Development_Phase,reproductive phase,Promoter,"In conclusion, our data suggest that BES1-mediated regulation of ABI3 is important in the reproductive phase transition of plants.",ABI3,No,"Object is correct, subject is not. BES1 regulates ABI3. Subject type should be protein, transcription factor, repressor, or similar. Object type should be gene or similar."
Q3-4,seedev_train_82,Regulates_Expression,Development_Phase,reproductive phase,Promoter,"For the cellular coculture experiment, thymidine incorporation was affected by reproductive phase (P less than .05) and lymphocyte source (P less than .0001). (ABSTRACT TRUNCATED AT 250 WORDS).",thymidine,No,Thymidine is not a promoter
Q3-5,seedev_train_82,Regulates_Expression,Development_Phase,reproductive phase,Promoter,"Postembryonic shoot development in maize (Zea mays L.) is divided into a juvenile vegetative phase, an adult vegetative phase, and a reproductive phase that differ in the expression of many morphological traits. A reduction in the endogenous levels of bioactive gibberellins (GAs) conditioned by any one of the dwarf1, dwarf3, dwarf5, or anther ear1 mutations in maize delays the transition from juvenile vegetative to adult vegetative development and from adult vegetative to reproductive development. Mutant plants cease producing juvenile traits (e.g. epicuticular wax) and begin producing adult traits (e.g. epidermal hairs) later than wild-type plants. They also cease producing leaves and begin producing reproductive structures later than wild-type plants. These mutations greatly enhance most aspects of the phenotype of Teopod1 and Teopod2, suggesting that GAs suppress part but not all of the Teopod phenotype. Application of GA<inf>3</inf> to Teopod2 mutants and Teopod1, dwarf3 double mutants confirms this result. We conclude that GAs act in conjunction with several other factors to promote both vegetative and reproductive maturation but affect different developmental phases unequally.",reproductive phase that differ in the expression of many morphological traits,No,
Q4-1,seedev_train_668,Regulates_Expression,Environmental_Factor,ethylene treatment,Gene,"The plant hormone ethylene plays a major role in the ripening of climacteric fruit. We have generated transgenic cantaloupe Charentais melons expressing an antisense ACC oxidase gene; ACC oxidase catalyzes the last step of ethylene biosynthesis. Ethylene production of transgenic fruit was < 1% of control untransformed fruit, and the ripening process was blocked both on and off the vine. The antisense phenotype could be reversed by exogenous ethylene treatment. Analysis of antisense ACC oxidase melons indicated that the ripening process includes ethylene-dependent and ethylene-independent pathways. Because the transgenic line we generated displays extended storage life and improved quality, it has a promising potential for commercial development.",ACC oxidase gene,Yes,
Q4-2,seedev_train_668,Regulates_Expression,Environmental_Factor,ethylene treatment,Gene,"The ethylene biosynthesis pathway controls flower senescence. Previous studies have shown that Arabidopsis ETHYLENE-OVERPRODUCER1 (ETO1) interacts specifically with and negatively regulates type 2 1-aminocyclopropane-1-carboxylate synthases (ACSs), the rate-limiting enzymes of ethylene biosynthesis. The ethylene biosynthesis pathway controls flower senescence in petunias (Petunia hybrida Juss.). However, the role of ETO1-like genes (EOLs) during flower senescence has not been investigated. Here, two full-length petunia EOL cDNAs, PhEOL1 and PhEOL2, were isolated. RT-PCR assays indicated that the expression of PhEOL1 and PhEOL2 increased after exogenous ethylene treatment. The VIGS-mediated silencing of PhEOL1 accelerated flower senescence and produced more ethylene than the control condition, whereas the silencing of PhEOL2 did not. Notably, the effects caused by PhEOL1 suppression were not enhanced by PhEOL2 suppression in corollas. In addition, the expression of two petunia type 2 PhACS genes increased during flower senescence and after ethylene treatment.",flower senescence,No,Best answer her includes PhEOL1 and PhEOL2.
Q4-3,seedev_train_668,Regulates_Expression,Environmental_Factor,ethylene treatment,Gene,"Ethylene regulates climacteric fruit ripening, and EIN3-LIKE1 (EIL1) plays an important role in this process. In apple (Malus domestica), fruit coloration is accompanied by ethylene release during fruit ripening, but the molecular mechanism that underlies these two physiological processes is unknown. In this study, we found that ethylene treatment markedly induced fruit coloration as well as the expression of MdMYB1, a positive regulator of anthocyanin biosynthesis and fruit coloration. In addition, we found that MdEIL1 directly bound to the promoter of MdMYB1 and transcriptionally activated its expression, which resulted in anthocyanin biosynthesis and fruit coloration. Furthermore, MdMYB1 interacted with the promoter of ETHYLENE RESPONSE FACTOR3, a key regulator of ethylene biosynthesis, thereby providing a positive feedback for ethylene biosynthesis regulation. Overall, our findings provide insight into a mechanism involving the synergistic interaction of the ethylene signal with the MdMYB1 transcription factor to regulate ethylene biosynthesis and fruit coloration in apple.",climacteric fruit ripening,No,"Climacteric fruit ripening is a phase, not a gene."
Q4-4,seedev_train_668,Regulates_Expression,Environmental_Factor,ethylene treatment,Gene,"Ethylene treatment markedly affects GA(3)  content; however, GA(3)  did not significantly affect ethylene-related gene expression in regards to regulation of hypocotyl and root length, which suggests that ethylene acts upstream via gibberellin to regulate hypocotyls and root development. Taken together, our results suggest a link between mitochondrial modulation of the ethylene and gibberellin pathway that regulates the development of hypocotyl and roots.",Ethylene treatment markedly affects GA(3) content;,No,GA3 content is not a gene.
Q4-5,seedev_train_668,Regulates_Expression,Environmental_Factor,ethylene treatment,Gene,"Different alpha-Af isoform responses to gibberellic acid, synthetic auxins, and ethylene were followed by using a novel ESS mature-green tomato pericarp disc system. alpha-Af I and II activity increased when gibberellic acid or 2,4-dichlorophenoxyacetic acid was applied, whereas ethylene treatment enhanced only alpha-Af III activity. Results suggest that tomato alpha-Afs are encoded by a gene family under differential hormonal controls, and probably have different in vivo functions. The ESS pericarp explant system allows comprehensive studies involving effects of physiological levels of different growth regulators on gene expression and enzyme activity with negligible wound-induced ethylene production.",alpha-Af III activity.,No,"Alpha-Af is an enzyme, not a gene."
Q5-1,seedev_dev_354,Regulates_Expression,Development_Phase,onset of the maturation phase,Gene_Family,"Sucrose synthase (SUS) is a key enzyme in sucrose metabolism. This enzyme catalyzes the reversible conversion of sucrose and UDP to UDP-glucose and fructose. In the Arabidopsis SUS gene family (six members), SUS2 is strongly and specifically expressed in Arabidopsis seeds during the maturation phase. Using specific antibodies, we have shown that SUS2 is localized in the embryo, endosperm and seed coat with differential patterns. During the maturation phase, the SUS2 protein seems to be mainly co-localized with plastids in the embryo. This novel finding is discussed in relation to the role of this enzyme in storage organs.",SUS2,No,Subject not mentioned.
Q5-2,seedev_dev_354,Regulates_Expression,Development_Phase,onset of the maturation phase,Gene_Family,"Furthermore, Na,K-ATPase expression defines at the molecular level the onset of maturation phase during pronephric kidney organogenesis. Taken together, our studies reveal a striking conservation of Na,K-ATPase subunit expression between pronephric and metanephric kidneys. The pronephric kidney may therefore represent a simplified model to dissect the regulatory mechanisms underlying renal Na,K-ATPase subunit expression.","Na,K-ATPase",Yes,
Q5-3,seedev_dev_354,Regulates_Expression,Development_Phase,onset of the maturation phase,Gene_Family,"In preparation for dramatic morphogenetic events of gastrulation, rapid embryonic cell cycles slow at the mid-blastula transition (MBT). In Drosophila melanogaster embryos, down-regulation of cyclin-dependent kinase 1 (Cdk1) activity initiates this slowing by delaying replication of heterochromatic satellite sequences and extending S phase. We found that Cdk1 activity inhibited the chromatin association of Rap1 interacting factor 1 (Rif1), a candidate repressor of replication. Furthermore, Rif1 bound selectively to satellite sequences following Cdk1 down-regulation at the MBT. In the next S phase, Rif1 dissociated from different satellites in an orderly schedule that anticipated their replication. Rif1 lacking potential phosphorylation sites failed to dissociate and dominantly prevented completion of replication. Loss of Rif1 in mutant embryos shortened the post-MBT S phase and rescued embryonic cell cycles disrupted by depletion of the S phase-promoting kinase, cell division cycle 7 (Cdc7). Our work shows that Rif1 and S phase kinases compose a replication timer controlling first the developmental onset of late replication and then the precise schedule of replication within S phase. In addition, we describe how onset of late replication fits into the progressive maturation of heterochromatin during development.",heterochromatin,No,Heterochromatin is not something that can be expressed; it is DNA that is tightly packed so that is does not get expressed. 
Q5-4,seedev_dev_354,Regulates_Expression,Development_Phase,onset of the maturation phase,Gene_Family,"As a Brassicaceae, Arabidopsis thaliana constitutes an excellent model system to investigate oil biosynthesis in seeds. Extensive tools for the genetic and molecular dissection of this model species are now available. Together with analytical procedures adapted to its tiny seeds, these tools have allowed major advances in isolating and characterising the factors that participate in the metabolic and developmental control of seed filling. Once the biochemical pathways producing storage lipids, namely triacylglycerols, were elucidated, the question of the regulation of this metabolic network has arisen. The coordinated up regulation of genes encoding enzymes of the fatty acid biosynthetic pathway observed at the onset of seed maturation suggests that the pathway may be subjected to a system of global transcriptional regulation. This has been further established by the study of master regulators of the maturation program like LEAFY COTYLEDON2 and the characterisation of the WRINKLED1 transcription factor. These factors have been shown to participate in a regulatory cascade controlling the induction of the genes involved in fatty acid biosynthesis at the onset of the maturation phase. Although much remains to be elucidated, the framework of the regulatory system controlling fatty acid biosynthesis in Arabidopsis seeds is coming into focus.",fatty acid biosynthesis,Yes,
Q5-5,seedev_dev_354,Regulates_Expression,Development_Phase,onset of the maturation phase,Gene_Family,"Thus, septins regulate fluid-phase cargo traffic to lysosomes by promoting macropinosome maturation and fusion with endosomes/lysosomes.",macropinosome,No,
